Frame index, Frame time (ms), DLSS-G Frame Duration (ms), CPU memory (MB), GPU memory (MB)
574, 7.99, 7.99, 0.00, 0.00
575, 7.67, 7.67, 0.00, 0.00
576, 8.39, 8.39, 0.00, 0.00
577, 8.57, 8.57, 0.00, 0.00
578, 8.30, 8.30, 0.00, 0.00
579, 8.00, 8.00, 0.00, 0.00
580, 8.30, 8.30, 0.00, 0.00
581, 8.49, 8.49, 0.00, 0.00
582, 8.19, 8.19, 0.00, 0.00
583, 8.71, 8.71, 0.00, 0.00
584, 8.24, 8.24, 0.00, 0.00
585, 8.67, 8.67, 0.00, 0.00
586, 8.05, 8.05, 0.00, 0.00
587, 8.59, 8.59, 0.00, 0.00
588, 8.20, 8.20, 0.00, 0.00
589, 8.58, 8.58, 0.00, 0.00
590, 9.57, 9.57, 0.00, 0.00
591, 7.93, 7.93, 0.00, 0.00
592, 7.89, 7.89, 0.00, 0.00
593, 7.80, 7.80, 0.00, 0.00
594, 8.68, 8.68, 0.00, 0.00
595, 8.03, 8.03, 0.00, 0.00
596, 8.63, 8.63, 0.00, 0.00
597, 8.33, 8.33, 0.00, 0.00
598, 8.63, 8.63, 0.00, 0.00
599, 8.25, 8.25, 0.00, 0.00
600, 8.41, 8.41, 0.00, 0.00
601, 8.88, 8.88, 0.00, 0.00
602, 8.07, 8.07, 0.00, 0.00
603, 8.58, 8.58, 0.00, 0.00
604, 8.56, 8.56, 0.00, 0.00
605, 8.49, 8.49, 0.00, 0.00
606, 8.41, 8.41, 0.00, 0.00
607, 8.25, 8.25, 0.00, 0.00
608, 8.27, 8.27, 0.00, 0.00
609, 8.38, 8.38, 0.00, 0.00
610, 7.99, 7.99, 0.00, 0.00
611, 8.07, 8.07, 0.00, 0.00
612, 8.15, 8.15, 0.00, 0.00
613, 8.17, 8.17, 0.00, 0.00
614, 8.36, 8.36, 0.00, 0.00
615, 7.99, 7.99, 0.00, 0.00
616, 8.39, 8.39, 0.00, 0.00
617, 8.49, 8.49, 0.00, 0.00
618, 8.22, 8.22, 0.00, 0.00
619, 8.34, 8.34, 0.00, 0.00
620, 8.61, 8.61, 0.00, 0.00
621, 7.72, 7.72, 0.00, 0.00
622, 8.76, 8.76, 0.00, 0.00
